City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa maria del oro,25.9333,-105.3667,51.28,39,35,9.57,MX,1674009019
1,ushuaia,-54.8,-68.3,56.86,62,20,6.91,AR,1674008879
2,hermanus,-34.4187,19.2345,72.81,89,98,8.72,ZA,1674009020
3,lebu,-37.6167,-73.65,54.99,92,10,9.89,CL,1674009020
4,cherskiy,68.75,161.3,-48.68,99,68,4.18,RU,1674009021
5,portland,45.5234,-122.6762,48.29,83,100,8.99,US,1674008828
6,kensington,-33.9167,151.2167,95.7,59,0,14.97,AU,1674009022
7,rikitea,-23.1203,-134.9692,79.05,69,98,5.79,PF,1674008766
8,piacabucu,-10.4056,-36.4344,78.26,80,100,9.75,BR,1674008934
9,puerto ayora,-0.7393,-90.3518,74.55,96,82,6.06,EC,1674008814
10,albany,42.6001,-73.9662,33.53,88,100,2.24,US,1674009024
11,cape town,-33.9258,18.4232,74.37,71,0,12.66,ZA,1674008936
12,hami,42.8,93.45,15.44,45,1,0.72,CN,1674009025
13,waddan,29.1614,16.139,51.49,34,0,6.55,LY,1674009025
14,punta arenas,-53.15,-70.9167,59.11,58,75,21.85,CL,1674009026
15,khatanga,71.9667,102.5,-37.17,100,43,5.37,RU,1674008788
16,avarua,-21.2078,-159.775,82.45,65,75,3.44,CK,1674008793
17,casa grande,32.8795,-111.7573,51.51,60,0,9.22,US,1674009027
18,villarrica,-25.75,-56.4333,76.71,72,16,3.71,PY,1674009028
19,kruisfontein,-34.0033,24.7314,71.89,77,100,4.59,ZA,1674009028
20,ribeira grande,38.5167,-28.7,56.77,84,36,11.01,PT,1674009029
21,nikolskoye,59.7035,30.7861,33.8,97,100,10.38,RU,1674008792
22,rawson,-43.3002,-65.1023,71.89,60,0,3.44,AR,1674009029
23,bethel,41.3712,-73.414,42.89,60,100,0.0,US,1674008840
24,srednekolymsk,67.45,153.6833,-37.21,97,100,5.46,RU,1674009030
25,bathsheba,13.2167,-59.5167,77.61,73,20,13.8,BB,1674009031
26,jamestown,42.097,-79.2353,40.01,72,100,17.27,US,1674008798
27,roswell,34.0232,-84.3616,56.55,93,75,3.44,US,1674009031
